ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb
52.0,2011,1,True,0,False,0,False,0,False
72.0,2011,2,True,0,False,0,False,0,False
75.0,2011,3,True,0,False,0,False,0,False
89.0,2011,1,True,0,False,0,False,0,False
93.0,2011,1,True,0,False,0,False,0,False
124.0,2011,1,True,0,False,0,False,0,False
134.0,2011,1,True,0,False,0,False,0,False
241.0,2011,1,True,0,False,0,False,0,False
246.0,2011,1,True,0,False,0,False,0,False
255.0,2011,1,True,0,False,0,False,0,False
272.0,2011,1,True,0,False,0,False,0,False
275.0,2011,1,True,0,False,0,False,0,False
281.0,2011,1,True,0,False,0,False,0,False
363.0,2011,1,True,0,False,0,False,0,False
370.0,2011,1,True,0,False,0,False,0,False
847.0,2011,1,True,0,False,0,False,0,False
9.0,2019,0,False,0,False,1,True,0,False
11.0,2019,0,False,1,True,1,True,0,False
12.0,2019,0,False,1,True,1,True,2,True
13.0,2019,0,False,0,False,0,False,1,True
14.0,2019,0,False,0,False,0,False,1,True
16.0,2019,0,False,0,False,1,True,0,False
26.0,2019,0,False,2,True,1,True,0,False
27.0,2019,0,False,0,False,7,True,0,False
29.0,2019,0,False,0,False,0,False,3,True
30.0,2019,0,False,0,False,1,True,0,False
32.0,2019,0,False,0,False,1,True,0,False
33.0,2019,0,False,2,True,1,True,4,True
36.0,2019,0,False,0,False,2,True,0,False
37.0,2019,0,False,0,False,0,False,1,True
41.0,2019,0,False,0,False,1,True,0,False
42.0,2019,0,False,0,False,1,True,1,True
47.0,2019,0,False,1,True,6,True,2,True
48.0,2019,0,False,0,False,1,True,1,True
49.0,2019,0,False,0,False,1,True,0,False
51.0,2019,0,False,3,True,1,True,0,False
52.0,2019,1,True,1,True,2,True,0,False
53.0,2019,0,False,0,False,4,True,1,True
55.0,2019,0,False,0,False,1,True,2,True
56.0,2019,0,False,0,False,2,True,18,True
58.0,2019,0,False,0,False,1,True,0,False
59.0,2019,0,False,0,False,2,True,0,False
60.0,2019,0,False,1,True,1,True,0,False
64.0,2019,0,False,3,True,4,True,1,True
67.0,2019,0,False,1,True,2,True,0,False
71.0,2019,0,False,0,False,1,True,2,True
72.0,2019,2,True,0,False,0,False,0,False
73.0,2019,0,False,0,False,2,True,0,False
75.0,2019,3,True,0,False,2,True,0,False
78.0,2019,0,False,0,False,0,False,1,True
81.0,2019,0,False,1,True,0,False,1,True
86.0,2019,1,True,0,False,0,False,1,True
89.0,2019,1,True,0,False,3,True,1,True
90.0,2019,0,False,2,True,1,True,0,False
91.0,2019,1,True,0,False,0,False,0,False
93.0,2019,2,True,0,False,2,True,0,False
94.0,2019,0,False,0,False,1,True,0,False
96.0,2019,1,True,0,False,0,False,0,False
97.0,2019,0,False,0,False,1,True,0,False
99.0,2019,0,False,0,False,3,True,0,False
100.0,2019,0,False,0,False,1,True,0,False
103.0,2019,0,False,0,False,0,False,2,True
105.0,2019,0,False,0,False,2,True,0,False
107.0,2019,0,False,1,True,3,True,0,False
