ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,mujer,edad,nivel_educativo,formal,informal
810,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,45.5,8.75,0.0,4.0
809,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49.0,5.5,0.0,2.0
823,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
822,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,51.0,6.5,0.0,2.0
821,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
796,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2857143,37.057144,4.7714286,3.0,25.0
800,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,44.5,6.0,0.0,4.0
811,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
820,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,41.0,8.0,0.0,2.0
812,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,52.0,3.5,1.0,1.0
819,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,32.0,11.0,0.0,1.0
824,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
801,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2857143,35.714287,5.857143,2.0,5.0
815,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.19444445,45.833332,4.75,3.0,29.0
1829,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
818,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52.0,9.0,0.0,1.0
816,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2857143,43.04762,6.0238094,3.0,36.0
807,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,41.884617,5.6153846,3.0,21.0
808,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.1764706,40.47059,4.4117646,7.0,26.0
795,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
802,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.121212125,42.18182,3.3030303,7.0,24.0
916,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15.0,4.0,0.0,0.0
799,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.26923078,41.423077,4.6923075,1.0,24.0
798,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
797,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,31.0,5.0,2.0,1.0
83,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.2,43.6,7.8,0.0,5.0
854,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,27.0,10.0,0.0,1.0
57,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48.666668,6.1666665,0.0,6.0
20,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,35.5,8.0,0.0,4.0
18,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
19,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
84,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
559,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
561,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24.0,4.0,0.0,1.0
