Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado
BODEGA D1 ICESTAR,ABURRA SUR,278511,2024/10/29,ACTIVA,2025/03/13,2025
CEDI D1 BARRANQUILLA,BARRANQUILLA,878328,2023/09/28,ACTIVA,2025/03/20,2025
CEDI D1 EJE CAFETERO,PEREIRA,18214185,2023/12/26,ACTIVA,2025/03/21,2025
CEDI D1 JAIBANA,PEREIRA,18214183,2023/12/26,ACTIVA,2025/03/21,2025
CEDI D1 NORTE GIRARDOTA,MEDELLIN PARA ANTIOQUIA,78883202,2024/02/15,ACTIVA,2025/03/21,2025
CEDI D1 PASTO,PASTO,232401,2023/09/18,ACTIVA,2025/03/11,2025
CEDI D1 POPAYAN,CAUCA,236252,2023/09/14,ACTIVA,2025/05/07,2025
CEDI D1 VALLEDUPAR,VALLEDUPAR,205702,2023/11/15,ACTIVA,2025/03/25,2025
CEDI D1 YUMBO,CALI,1198657,2023/09/12,ACTIVA,2025/03/10,2025
D1,MEDELLIN PARA ANTIOQUIA,48572302,2009/11/26,CANCELADA,2013/04/02,2013
D1,MEDELLIN PARA ANTIOQUIA,49026202,2010/03/09,CANCELADA,2013/04/03,2013
D1,MEDELLIN PARA ANTIOQUIA,49026302,2010/03/09,CANCELADA,2013/04/03,2013
D1,MEDELLIN PARA ANTIOQUIA,49418802,2010/05/21,CANCELADA,2011/03/30,2011
D1 - MINIMERCADO GRANADA,ORIENTE ANTIOQUENO,92450,2015/03/16,ACTIVA,2025/03/19,2025
D1 BODEGA ALTERNA GUARNE,ORIENTE ANTIOQUENO,158376,2023/11/20,ACTIVA,2025/03/19,2025
D1 BODEGA ALTERNA RENTAFRIO,MEDELLIN PARA ANTIOQUIA,78531702,2023/12/14,CANCELADA,2025/03/21,2025
D1 CEDI CÚCUTA,CUCUTA,449756,2023/11/01,ACTIVA,2025/03/19,2025
D1 CEDI GUARNE,ORIENTE ANTIOQUENO,158361,2023/11/20,ACTIVA,2025/03/19,2025
D1 CEDI LA ESTRELLA,ABURRA SUR,268227,2023/11/17,ACTIVA,2025/03/13,2025
D1 CEDI LEBRIJA,BUCARAMANGA,9000659543,2023/10/31,ACTIVA,2025/03/28,2025
D1 REMEDIOS TRONCAL,MAGDALENA MEDIO,79398,2023/02/10,ACTIVA,2025/03/27,2025
MINI MERCADO D1 ALCALA,ABURRA SUR,158764,2012/12/03,ACTIVA,2025/03/13,2025
MINI MERCADO D1 AVENIDA QUITO,BOGOTA,2284054,2013/01/11,CANCELADA,2016/03/31,2016
MINI MERCADO D1 AVENIDA ROJAS,BOGOTA,2284053,2013/01/11,CANCELADA,2016/03/31,2016
MINI MERCADO D1 BELEN FATIMA,MEDELLIN PARA ANTIOQUIA,56880302,2014/04/24,ACTIVA,2025/03/21,2025
MINI MERCADO D1 BELEN LAS MERCEDES,MEDELLIN PARA ANTIOQUIA,54108702,2012/12/28,ACTIVA,2025/03/21,2025
MINI MERCADO D1 BELEN SAN BERNARDO,MEDELLIN PARA ANTIOQUIA,55229502,2013/07/10,ACTIVA,2025/03/21,2025
MINI MERCADO D1 BOLOMBOLO,MEDELLIN PARA ANTIOQUIA,54181402,2013/01/21,ACTIVA,2025/03/21,2025
MINI MERCADO D1 CAMPO AMOR,MEDELLIN PARA ANTIOQUIA,55229402,2013/07/10,ACTIVA,2025/03/21,2025
MINI MERCADO D1 CENTRO DE LA MODA,ABURRA SUR,158765,2012/12/03,CANCELADA,2015/03/27,2015
MINI MERCADO D1 CHIA 2,BOGOTA,2341391,2013/07/15,CANCELADA,2016/03/31,2016
MINI MERCADO D1 CHIA CRA 5,BOGOTA,2264431,2012/10/11,CANCELADA,2018/03/15,2018
MINI MERCADO D1 CONQUISTADORES,MEDELLIN PARA ANTIOQUIA,57375002,2014/07/16,CANCELADA,2017/03/24,2017
