Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
JUSTO Y BUENO ACACIAS,VILLAVICENCIO,320495,2017/09/11,ACTIVA,2021/03/26,2021,4.1410403,-73.6392357,"Cra. 40 #27-36, Villavicencio, Meta, Colombia"
JUSTO Y BUENO ANZOATEGUI TOLIMA,IBAGUE,321444,2020/09/30,ACTIVA,2021/03/25,2021,4.873228,-75.1732825,"Cra. 10 # 3-01, Murillo, Tolima, Colombia"
JUSTO Y BUENO ARMERO GUAYABAL TOLIMA,HONDA,69922,2020/10/06,ACTIVA,2021/01/25,2021,5.0279037,-74.88919820000001,"Cra. 6 # 6 - 72, Guayabal, Armero, Tolima, Colombia"
JUSTO Y BUENO ATLANTICO CAMPO DE LA CRUZ,BARRANQUILLA,776096,2020/12/01,ACTIVA,2021/03/31,2021,10.379864,-74.8823374,"Cl. 6 # 9 - 05, Campo de La Cruz, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO GALAPA BARRIO ARRIBA,BARRANQUILLA,776098,2020/12/01,ACTIVA,2021/03/31,2021,10.8952696,-74.88662310000001,"Cl. 11 # 14-43, Galapa, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO JUAN DE ACOSTA,BARRANQUILLA,737800,2019/06/26,ACTIVA,2021/03/31,2021,10.829092,-75.03585799999999,"Juan de Acosta, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO PONEDERA,BARRANQUILLA,751053,2019/11/29,CANCELADA,2021/03/31,2021,10.6419563,-74.75209749999999,"Cl. 18 # 14 - 21, Ponedera, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO PUERTO COLOMBIA CRA 10,BARRANQUILLA,744902,2019/09/13,CANCELADA,2021/03/31,2021,10.9904131,-74.9542775,"Cra. 10 # 4 - 81, Puerto Colombia, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO PUERTO COLOMBIA LA VICTORIA,BARRANQUILLA,739259,2019/07/12,ACTIVA,2021/03/31,2021,10.9905666,-74.790992,"Cra. 50 # 54 - 29, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO SABANALARGA AV. BOGOTA,BARRANQUILLA,776112,2020/12/01,ACTIVA,2021/03/31,2021,10.6371377,-74.9237705,"Cra. 23 # 26 - 23, Sabanalarga, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO SUAN,BARRANQUILLA,739266,2019/07/12,CANCELADA,2021/03/31,2021,10.3344104,-74.87848509999999,"Cl. 3 # 15 - 30, Suan, Atlántico, Colombia"
JUSTO Y BUENO ATLANTICO VILLAS DE SOLEDAD,BARRANQUILLA,737794,2019/06/26,ACTIVA,2021/03/31,2021,10.9145578,-74.76627049999999,"Cl. 18 # 17 - 15, San Antonio, Soledad, Atlántico, Colombia"
JUSTO Y BUENO BARANOA MANZANARES,BARRANQUILLA,755886,2020/02/06,ACTIVA,2021/03/31,2021,10.8053623,-74.9154133,"Cra. 19 #10-21, Baranoa, Atlántico, Colombia"
JUSTO Y BUENO BARRANQUILLA 51B,BARRANQUILLA,771246,2020/10/09,ACTIVA,2021/03/31,2021,11.0040612,-74.8136753,"Cra. 51B # 80 -99, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
JUSTO Y BUENO BARRANQUILLA 7 DE ABRIL,BARRANQUILLA,776000,2020/11/30,ACTIVA,2021/03/31,2021,10.9526611,-74.774012,"Cl. 17 #13-35, Sur Orient, Barranquilla, Atlántico, Colombia"
JUSTO Y BUENO BARRANQUILLA ALTOS DE LA CEIBA,BARRANQUILLA,737796,2019/06/26,ACTIVA,2021/03/31,2021,10.9858184,-74.79674340000001,"Av. 20 de Julio #59-41, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
JUSTO Y BUENO BARRANQUILLA AVENIDA LAS TORRES,BARRANQUILLA,735096,2019/05/24,ACTIVA,2021/03/31,2021,10.9526611,-74.774012,"Cl. 17 #13-35, Sur Orient, Barranquilla, Atlántico, Colombia"
