Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion,latitud,longitud,direccion
TIENDA ARA 0058 DOSQUEBRADAS ESTACION ACUARELA,DOSQUEBRADAS,45313,2014/09/18,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0144 MAGANGUE CORDOBA,MAGANGUE,37323,2015/11/17,ACTIVA,2025/03/20,2025,,,,,,
TIENDA ARA 0150 CIENAGA CALLE 17,SANTA MARTA PARA EL MAGDALENA,173164,2015/11/24,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0153 SANTA MARTA BAVARIA,SANTA MARTA PARA EL MAGDALENA,173054,2015/11/19,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0154 SAN LORENZO,SANTA MARTA PARA EL MAGDALENA,175881,2016/03/09,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0162 SANTA MARTA ALCAZARES,SANTA MARTA PARA EL MAGDALENA,178552,2016/06/15,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0193 SAN ONOFRE CENTRO,SINCELEJO,93235,2016/08/16,ACTIVA,2025/03/21,2025,9.316629599999999,-75.3925927,"Cra. 18 #55, Sincelejo, Sucre, Colombia",9.316629599999999,-75.3925927,"Cra. 18 #55, Sincelejo, Sucre, Colombia"
TIENDA ARA 0197 SANTA MARTA MIRAFLORES,SANTA MARTA PARA EL MAGDALENA,180428,2016/08/16,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0200 PIVIJAY,SANTA MARTA PARA EL MAGDALENA,180420,2016/08/16,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0214 SANTA MARTA LA QUINTA,SANTA MARTA PARA EL MAGDALENA,181110,2016/09/07,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0218 MADRID CALLE 7,FACATATIVA,104105,2016/09/08,ACTIVA,2025/03/26,2025,,,,,,
TIENDA ARA 0218 MADRID CALLE 7,FACATATIVA,112907,2017/08/17,CANCELADA,2017/08/17,2017,,,,,,
TIENDA ARA 0234 SANTA MARTA CONCEPCION,SANTA MARTA PARA EL MAGDALENA,182081,2016/10/06,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0235 CENTRO COMERCIAL MEGA 10,BOGOTA,2737571,2016/09/27,ACTIVA,2025/03/20,2025,4.6036709,-74.07551959999999,"Cra. 10 # 15-54, Bogotá, Colombia",4.6036709,-74.07551959999999,"Cra. 10 # 15-54, Bogotá, Colombia"
TIENDA ARA 0243 MADRID SANTA MATILDE,FACATATIVA,104976,2016/10/20,ACTIVA,2025/03/26,2025,,,,,,
TIENDA ARA 0243 MADRID SANTA MATILDE,FACATATIVA,112910,2017/08/17,CANCELADA,2017/08/17,2017,,,,,,
TIENDA ARA 0259 GALAPA VILLA OLIMPICA,BARRANQUILLA,658871,2016/10/26,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0262 ARACATACA,SANTA MARTA PARA EL MAGDALENA,196401,2017/11/30,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0271 FUNDACION,SANTA MARTA PARA EL MAGDALENA,190106,2017/06/13,ACTIVA,2025/03/21,2025,,,,,,
TIENDA ARA 0293 SANTA MARTA BASTIDAS,SANTA MARTA PARA EL MAGDALENA,190624,2017/06/28,ACTIVA,2025/03/21,2025,,,,,,
