Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
OXXO 140,BOGOTA,2037456,2010/10/21,ACTIVA,2025/03/20,2025,4.7209429,-74.03994829999999,"Cl. 140 #13-06, Bogotá, Colombia"
OXXO 147,BOGOTA,2040045,2010/10/29,CANCELADA,2019/03/29,2019,4.7267963,-74.0348571,"Cl 147 #12-01, Usaquén, Bogotá, Cundinamarca, Colombia"
OXXO 1ERO DE MAYO,BOGOTA,3150639,2019/08/09,ACTIVA,2025/03/20,2025,4.576120599999999,-74.0946252,"Av. 1 de Mayo #10-22, Bogotá, Colombia"
OXXO 34 NORTE MALL,CALI,1206588,2024/01/10,ACTIVA,2025/03/27,2025,3.4701614,-76.5193756,"Av. 2b Nte. #34 Norte-19, Prados Norte, Cali, Valle del Cauca, Colombia"
OXXO 7-24,BOGOTA,3839128,2024/06/28,ACTIVA,2025/03/20,2025,4.6101924,-74.0707486,"Cl. 24 #7-43, Bogotá, Colombia"
OXXO 72 CARACAS,BOGOTA,3992661,2025/07/28,ACTIVA,2025/07/28,2025,4.7044049,-74.1169594,"Cl 72 #100b-28, Bogotá, Colombia"
OXXO 72 CASTILLA,BOGOTA,3500839,2022/03/17,ACTIVA,2025/03/20,2025,4.639823199999999,-74.1371302,"Cra. 72b #8b68, Bogotá, Colombia"
OXXO 73 KENNEDY,BOGOTA,3464569,2022/01/03,ACTIVA,2025/03/20,2025,4.6210096,-74.14736429999999,"Cl. 35c Sur #73c-2 a 73c-48, Bogotá, Colombia"
OXXO 78 KENNEDY,BOGOTA,3500854,2022/03/17,ACTIVA,2025/03/20,2025,4.6222235,-74.14995379999999,"Cl. 36 Sur #78-37, Kennedy, Bogotá, Colombia"
OXXO ACACIAS,GIRARDOT,116082,2023/10/10,ACTIVA,2025/03/27,2025,4.307392699999999,-74.8035845,"Girardot, Cundinamarca, Colombia"
OXXO ACAPULCO,BOGOTA,3806918,2024/04/09,ACTIVA,2025/03/20,2025,4.685213099999999,-74.0950608,"Cra. 71B #71-67, Engativá, Bogotá, Colombia"
OXXO ACOMEDICA 2,BOGOTA,3505978,2022/03/28,ACTIVA,2025/03/20,2025,4.7061614,-74.05006019999999,"Ac 127 #19A-44, Bogotá, Colombia"
OXXO ACUARELA,DOSQUEBRADAS,69804,2024/01/19,ACTIVA,2025/03/27,2025,4.8515061,-75.66247059999999,"Dg. 68, Dosquebradas, Risaralda, Colombia"
OXXO ADMINISTRATIVO ZONA FRANCA,BOGOTA,3698765,2023/06/28,ACTIVA,2025/03/20,2025,4.6755552,-74.1548308,"Cra. 106 #15a-25, Bogotá, Colombia"
